"ProcessName","Path","Id"
"audiodg",,"14368"
"bash","C:\Users\andy.phuong\AppData\Local\Programs\Git\usr\bin\bash.exe","15900"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1016"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1784"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","4908"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","5160"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","7944"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","8792"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","9704"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","13460"
"conhost","C:\Windows\system32\conhost.exe","776"
"conhost",,"5324"
"conhost","C:\Windows\system32\conhost.exe","16772"
"csrss",,"660"
"csrss",,"13428"
"csrss",,"15252"
"ctfmon",,"7520"
"dllhost","C:\Windows\system32\DllHost.exe","14448"
"dwm",,"2812"
"dwm",,"4376"
"explorer","C:\Windows\Explorer.EXE","18048"
"fontdrvhost",,"504"
"fontdrvhost",,"6876"
"fontdrvhost",,"15704"
"git-bash","C:\Users\andy.phuong\AppData\Local\Programs\Git\git-bash.exe","15520"
"Greenshot","C:\Program Files\Greenshot\Greenshot.exe","1716"
"Idle",,"0"
"igfxCUIService",,"1044"
"IntelCpHDCPSvc",,"1604"
"IntelCpHeciSvc",,"2036"
"IPROSetMonitor",,"3744"
"jhi_service",,"3980"
"LogonUI",,"8320"
"lsass",,"900"
"Memory Compression",,"2464"
"mintty","C:\Users\andy.phuong\AppData\Local\Programs\Git\usr\bin\mintty.exe","14380"
"MsMpEng",,"3952"
"nano","C:\Users\andy.phuong\AppData\Local\Programs\Git\usr\bin\nano.exe","14672"
"NinjaRMMAgent",,"18144"
"NinjaRMMAgentPatcher",,"7592"
"NisSrv",,"6080"
"OneApp.IGCC.WinService",,"3760"
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","13784"
"rdpclip","C:\Windows\System32\rdpclip.exe","9000"
"Registry",,"144"
"RtkNGUI64","C:\Program Files\Realtek\Audio\HDA\RtkNGUI64.exe","4328"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","10252"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","11724"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","12236"
"SearchFilterHost",,"12836"
"SearchIndexer",,"4360"
"SearchProtocolHost",,"6960"
"SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","1180"
"SecurityHealthService",,"2404"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","12512"
"services",,"868"
"SgrmBroker",,"1304"
"ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","5432"
"sihost","C:\Windows\system32\sihost.exe","14296"
"smartscreen","C:\Windows\System32\smartscreen.exe","7664"
"smss",,"464"
"spoolsv",,"3500"
"sshd",,"3836"
"svchost",,"108"
"svchost","C:\Windows\system32\svchost.exe","276"
"svchost",,"432"
"svchost",,"896"
"svchost",,"1072"
"svchost",,"1092"
"svchost",,"1196"
"svchost",,"1264"
"svchost",,"1332"
"svchost",,"1340"
"svchost",,"1356"
"svchost",,"1412"
"svchost",,"1464"
"svchost",,"1472"
"svchost",,"1508"
"svchost",,"1548"
"svchost",,"1592"
"svchost",,"1624"
"svchost",,"1632"
"svchost",,"1708"
"svchost",,"1736"
"svchost",,"1856"
"svchost",,"1988"
"svchost",,"1996"
"svchost",,"2088"
"svchost",,"2196"
"svchost",,"2220"
"svchost",,"2228"
"svchost",,"2344"
"svchost",,"2352"
"svchost",,"2360"
"svchost",,"2380"
"svchost",,"2544"
"svchost",,"2748"
"svchost",,"2816"
"svchost",,"2880"
"svchost",,"2888"
"svchost",,"2944"
"svchost",,"2972"
"svchost",,"2980"
"svchost",,"3208"
"svchost",,"3308"
"svchost",,"3316"
"svchost",,"3356"
"svchost",,"3592"
"svchost",,"3720"
"svchost",,"3728"
"svchost",,"3736"
"svchost",,"3752"
"svchost",,"3768"
"svchost",,"3776"
"svchost",,"3784"
"svchost",,"3804"
"svchost",,"4124"
"svchost",,"4204"
"svchost",,"4284"
"svchost",,"4984"
"svchost",,"5004"
"svchost",,"5364"
"svchost",,"5460"
"svchost",,"5544"
"svchost",,"5764"
"svchost",,"6932"
"svchost",,"7356"
"svchost",,"7596"
"svchost","C:\Windows\system32\svchost.exe","7656"
"svchost",,"7712"
"svchost",,"8304"
"svchost",,"9780"
"svchost",,"13908"
"svchost","C:\Windows\system32\svchost.exe","15128"
"svchost",,"16172"
"svchost","C:\Windows\system32\svchost.exe","16788"
"System",,"4"
"taskhostw","C:\Windows\system32\taskhostw.exe","1040"
"vmnat",,"3828"
"vmnetdhcp",,"3816"
"vmware-authd",,"3796"
"vmware-tray","C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe","11232"
"vmware-usbarbitrator64",,"3936"
"wininit",,"748"
"winlogon",,"5808"
"winlogon",,"12560"
"WmiPrvSE",,"4796"
"WmiPrvSE",,"9876"
"WmiPrvSE",,"15708"
"WMIRegistrationService",,"3880"
