"DisplayName","Status"
"Application Information","Running"
"Windows Audio Endpoint Builder","Running"
"Windows Audio","Running"
"Base Filtering Engine","Running"
"Background Intelligent Transfer Service","Running"
"Background Tasks Infrastructure Service","Running"
"AVCTP service","Running"
"Clipboard User Service_2642f34d","Running"
"Connected Devices Platform Service","Running"
"Connected Devices Platform User Service_2642f34d","Running"
"Certificate Propagation","Running"
"CoreMessaging","Running"
"Intel(R) Content Protection HECI Service","Running"
"Intel(R) Content Protection HDCP Service","Running"
"Cryptographic Services","Running"
"DCOM Server Process Launcher","Running"
"DHCP Client","Running"
"Connected User Experiences and Telemetry","Running"
"DNS Client","Running"
"Delivery Optimization","Running"
"Diagnostic Policy Service","Running"
"Data Sharing Service","Running"
"Data Usage","Running"
"Windows Event Log","Running"
"COM+ Event System","Running"
"Windows Font Cache Service","Running"
"Group Policy Client","Running"
"Human Interface Device Service","Running"
"Intel(R) Graphics Command Center Service","Running"
"Intel(R) HD Graphics Control Panel Service","Running"
"IKE and AuthIP IPsec Keying Modules","Running"
"Intel(R) PROSet Monitoring Service","Running"
"IP Helper","Running"
"Intel(R) Dynamic Application Loader Host Interface Service","Running"
"CNG Key Isolation","Running"
"Server","Running"
"Workstation","Running"
"Geolocation Service","Running"
"Windows License Manager Service","Running"
"TCP/IP NetBIOS Helper","Running"
"Local Session Manager","Running"
"Windows Defender Firewall","Running"
"Network Connection Broker","Running"
"Netlogon","Running"
"Network List Service","Running"
"NinjaRMMAgent","Running"
"Network Location Awareness","Running"
"Network Store Interface Service","Running"
"Sync Host_2642f34d","Running"
"Program Compatibility Assistant Service","Running"
"Plug and Play","Running"
"IPsec Policy Agent","Running"
"Power","Running"
"User Profile Service","Running"
"Quality Windows Audio Video Experience","Running"
"Remote Access Connection Manager","Running"
"Radio Management Service","Running"
"RPC Endpoint Mapper","Running"
"Remote Procedure Call (RPC)","Running"
"Security Accounts Manager","Running"
"Smart Card Device Enumeration Service","Running"
"Task Scheduler","Running"
"Windows Security Service","Running"
"System Event Notification Service","Running"
"Remote Desktop Configuration","Running"
"System Guard Runtime Monitor Broker","Running"
"Shell Hardware Detection","Running"
"Print Spooler","Running"
"SSDP Discovery","Running"
"OpenSSH SSH Server","Running"
"Secure Socket Tunneling Protocol Service","Running"
"State Repository Service","Running"
"Storage Service","Running"
"SysMain","Running"
"System Events Broker","Running"
"Touch Keyboard and Handwriting Panel Service","Running"
"Remote Desktop Services","Running"
"Themes","Running"
"Time Broker","Running"
"Web Account Manager","Running"
"Distributed Link Tracking Client","Running"
"Remote Desktop Services UserMode Port Redirector","Running"
"User Manager","Running"
"Update Orchestrator Service","Running"
"Credential Manager","Running"
"VMware Authorization Service","Running"
"VMware DHCP Service","Running"
"VMware USB Arbitration Service","Running"
"VMware NAT Service","Running"
"Windows Time","Running"
"Windows Connection Manager","Running"
"Diagnostic Service Host","Running"
"Windows Defender Antivirus Network Inspection Service","Running"
"Windows Defender Antivirus Service","Running"
"WinHTTP Web Proxy Auto-Discovery Service","Running"
"Windows Management Instrumentation","Running"
"Intel(R) Management Engine WMI Provider Registration","Running"
"Windows Push Notifications System Service","Running"
"Windows Push Notifications User Service_2642f34d","Running"
"Security Center","Running"
"Windows Search","Running"
